Folder,Results
rw-same-count-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5472484848484849, 'AUC-PR': 0.011542609254475582}, {'Algorithm': 'COF', 'AUC-ROC': 0.31904343434343435, 'AUC-PR': 0.007896680094601762}, {'Algorithm': 'kMeans', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6695883838383839, 'AUC-PR': 0.016016798133483064}, {'Algorithm': 'LOF', 'AUC-ROC': 0.3747489898989899, 'AUC-PR': 0.009376223696599673}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9234040404040404, 'AUC-PR': 0.07805084182056259}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9998555555555556, 'AUC-PR': 0.9751340107186226}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9998555555555555, 'AUC-PR': 0.9751340107186227}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9990121212121212, 'AUC-PR': 0.8933048818890089}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9998555555555555, 'AUC-PR': 0.9751340107186227}]"
sinus-combined-diff-3,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5781380687697009, 'AUC-PR': 0.09955127621941749}, {'Algorithm': 'COF', 'AUC-ROC': 0.6162737313217354, 'AUC-PR': 0.10845825940376598}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.999007675834356, 'AUC-PR': 0.9733593866122578}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6589898698236243, 'AUC-PR': 0.15239065942249935}, {'Algorithm': 'LOF', 'AUC-ROC': 0.582125652686542, 'AUC-PR': 0.12700609992736434}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.8787372169686469, 'AUC-PR': 0.34338988641509866}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7216371905002527, 'AUC-PR': 0.06721950957714248}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7216371905002527, 'AUC-PR': 0.06721950957714248}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9989836136576915, 'AUC-PR': 0.973160403684055}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7157275199114511, 'AUC-PR': 0.06772900241558398}]"
sinus-channels-single-of-20,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.9387767676767675, 'AUC-PR': 0.8345972961839655}, {'Algorithm': 'COF', 'AUC-ROC': 0.9271717171717172, 'AUC-PR': 0.775844535096687}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.999910101010101, 'AUC-PR': 0.9912587165956859}, {'Algorithm': 'KNN', 'AUC-ROC': 0.954858585858586, 'AUC-PR': 0.8383915158591675}, {'Algorithm': 'LOF', 'AUC-ROC': 0.9376131313131314, 'AUC-PR': 0.8381461940633472}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9995383838383838, 'AUC-PR': 0.9647665740576326}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.760040404040404, 'AUC-PR': 0.02072950616276363}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.760040404040404, 'AUC-PR': 0.02072950616276363}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9987212121212121, 'AUC-PR': 0.8769745928813069}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.76320101010101, 'AUC-PR': 0.020889834483880258}]"
ecg-diff-count-4,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5521263109290646, 'AUC-PR': 0.042434670147117666}, {'Algorithm': 'COF', 'AUC-ROC': 0.530557145494672, 'AUC-PR': 0.10995454831865517}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9950835771335128, 'AUC-PR': 0.8757737599083775}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5580028629180185, 'AUC-PR': 0.11358098809427761}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5543248798810988, 'AUC-PR': 0.119241352893924}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7027449827858405, 'AUC-PR': 0.4310062423884849}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9608672880959404, 'AUC-PR': 0.5088361160811189}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9608672880959402, 'AUC-PR': 0.5088351905474332}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9964126178024998, 'AUC-PR': 0.9013576374393617}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9621774892709082, 'AUC-PR': 0.5104442373609617}]"
sinus-type-amplitude,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.7063919191919192, 'AUC-PR': 0.48866497804201237}, {'Algorithm': 'COF', 'AUC-ROC': 0.7644333333333333, 'AUC-PR': 0.49168294549687125}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999848484848486, 'AUC-PR': 0.9985260714639583}, {'Algorithm': 'KNN', 'AUC-ROC': 0.7476409090909091, 'AUC-PR': 0.49743652887890955}, {'Algorithm': 'LOF', 'AUC-ROC': 0.7491944444444445, 'AUC-PR': 0.4938756367924622}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.933720202020202, 'AUC-PR': 0.6516881221652256}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6508484848484849, 'AUC-PR': 0.5627840449378002}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6508484848484849, 'AUC-PR': 0.5627840449378002}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6545767676767676, 'AUC-PR': 0.5670529015863685}]"
ecg-diff-count-3,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.48754776632302405, 'AUC-PR': 0.05851585201305548}, {'Algorithm': 'COF', 'AUC-ROC': 0.5044463917525773, 'AUC-PR': 0.06824190113731335}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9962226804123712, 'AUC-PR': 0.8953528770394049}, {'Algorithm': 'KNN', 'AUC-ROC': 0.49885824742268037, 'AUC-PR': 0.06920190653929281}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5247929553264604, 'AUC-PR': 0.07467805976365449}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.6920498281786942, 'AUC-PR': 0.517494310379932}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9193584192439862, 'AUC-PR': 0.5839304584931373}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9193584192439864, 'AUC-PR': 0.5839304477969163}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9946384879725085, 'AUC-PR': 0.8711459305934578}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9269378006872854, 'AUC-PR': 0.584272817765777}]"
ecg-combined-diff-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5121234042553191, 'AUC-PR': 0.05903825066883145}, {'Algorithm': 'COF', 'AUC-ROC': 0.5355258865248227, 'AUC-PR': 0.06909834467768723}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.7592843971631205, 'AUC-PR': 0.46919822333297934}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5795823581560284, 'AUC-PR': 0.07293345478543978}, {'Algorithm': 'LOF', 'AUC-ROC': 0.551525620567376, 'AUC-PR': 0.07129950424522719}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.5711741134751773, 'AUC-PR': 0.06848064604923564}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7366120567375888, 'AUC-PR': 0.2841226962872696}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7366120567375888, 'AUC-PR': 0.2841226962872696}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.8504195035460993, 'AUC-PR': 0.34075312432903015}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7376088652482269, 'AUC-PR': 0.28450290993541383}]"
cbf-position-beginning,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.48107474747474743, 'AUC-PR': 0.009778426441916056}, {'Algorithm': 'COF', 'AUC-ROC': 0.5484777777777777, 'AUC-PR': 0.02192541204545849}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.8998959595959597, 'AUC-PR': 0.07335806984154271}, {'Algorithm': 'KNN', 'AUC-ROC': 0.42624343434343437, 'AUC-PR': 0.01960564536604152}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5248520202020202, 'AUC-PR': 0.04081161188706766}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.3991262626262626, 'AUC-PR': 0.007748178082706673}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.5344131313131313, 'AUC-PR': 0.009942722886390696}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.5344131313131313, 'AUC-PR': 0.009942722886390696}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9523454545454546, 'AUC-PR': 0.08990160990621349}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.5344131313131313, 'AUC-PR': 0.009942722886390696}]"
cbf-type-mean,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.44092222222222227, 'AUC-PR': 0.008257491697182883}, {'Algorithm': 'COF', 'AUC-ROC': 0.482120202020202, 'AUC-PR': 0.009294903889857705}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9639535353535353, 'AUC-PR': 0.11866499989801292}, {'Algorithm': 'KNN', 'AUC-ROC': 0.592830303030303, 'AUC-PR': 0.011005963918922617}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4336777777777778, 'AUC-PR': 0.008093791505213088}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9059727272727273, 'AUC-PR': 0.05853462257693937}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.45549090909090917, 'AUC-PR': 0.00861842004319298}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.45549090909090917, 'AUC-PR': 0.00861842004319298}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.8655939393939395, 'AUC-PR': 0.03259997133587091}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.4555626262626263, 'AUC-PR': 0.008618919402316322}]"
sinus-diff-count-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6821678571428572, 'AUC-PR': 0.3767176309521465}, {'Algorithm': 'COF', 'AUC-ROC': 0.6621882653061224, 'AUC-PR': 0.29296527690829166}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.999975, 'AUC-PR': 0.9987877106212735}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6895454081632653, 'AUC-PR': 0.38356238459958775}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6734691326530613, 'AUC-PR': 0.378484684244602}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.991479081632653, 'AUC-PR': 0.6047971132319158}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9729882653061224, 'AUC-PR': 0.7517699600584001}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9729882653061224, 'AUC-PR': 0.7517699600584001}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9987326530612244, 'AUC-PR': 0.932513236171294}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9751663265306123, 'AUC-PR': 0.7529115916012952}]"
sinus-diff-count-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5760315327942256, 'AUC-PR': 0.17347858207888436}, {'Algorithm': 'COF', 'AUC-ROC': 0.5875445774562448, 'AUC-PR': 0.1286478468827554}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9951322340050488, 'AUC-PR': 0.8938201902212156}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6235136193270341, 'AUC-PR': 0.27978078695758835}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5954360894305544, 'AUC-PR': 0.2031641372476238}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9586620489093965, 'AUC-PR': 0.5177483233934063}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9485724172743473, 'AUC-PR': 0.7147291163200578}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9485724172743473, 'AUC-PR': 0.7147291163200578}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9935412536478369, 'AUC-PR': 0.8256140327771627}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9499992076273531, 'AUC-PR': 0.7157820114273089}]"
ecg-diff-count-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5285280612244898, 'AUC-PR': 0.02221346930557327}, {'Algorithm': 'COF', 'AUC-ROC': 0.529736224489796, 'AUC-PR': 0.02185377880643357}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9971561224489796, 'AUC-PR': 0.8623707584816445}, {'Algorithm': 'KNN', 'AUC-ROC': 0.513398724489796, 'AUC-PR': 0.022379227412429165}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5124676020408163, 'AUC-PR': 0.022552265748511234}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.5586229591836734, 'AUC-PR': 0.5267584762773091}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9791117346938776, 'AUC-PR': 0.4778111943560659}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9791117346938776, 'AUC-PR': 0.47781115604423835}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9985887755102041, 'AUC-PR': 0.9216495995074356}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9792086734693878, 'AUC-PR': 0.47728407227943054}]"
sinus-channels-single-of-10,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.8932868686868687, 'AUC-PR': 0.7304622439379054}, {'Algorithm': 'COF', 'AUC-ROC': 0.9046010101010101, 'AUC-PR': 0.7205818293768781}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999969696969697, 'AUC-PR': 0.9997024458328185}, {'Algorithm': 'KNN', 'AUC-ROC': 0.8726060606060606, 'AUC-PR': 0.7426123649179082}, {'Algorithm': 'LOF', 'AUC-ROC': 0.902788888888889, 'AUC-PR': 0.7439018014280402}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9845434343434343, 'AUC-PR': 0.820040315692432}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.8185747474747475, 'AUC-PR': 0.025698171163073956}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.8185747474747475, 'AUC-PR': 0.025698171163073956}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9998181818181818, 'AUC-PR': 0.982361559006802}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.8185959595959597, 'AUC-PR': 0.02570008027867629}]"
ecg-diff-count-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5584632023441759, 'AUC-PR': 0.06075458216870058}, {'Algorithm': 'COF', 'AUC-ROC': 0.5318694876518465, 'AUC-PR': 0.05533271632909229}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9821931783729551, 'AUC-PR': 0.7710334751332788}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5661244066622693, 'AUC-PR': 0.059457647811165484}, {'Algorithm': 'LOF', 'AUC-ROC': 0.531271700943495, 'AUC-PR': 0.05753626672263781}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7947614555651709, 'AUC-PR': 0.4243984236171162}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9508396422216673, 'AUC-PR': 0.5248423182889622}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9508396422216674, 'AUC-PR': 0.5248419317540088}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9832045576235472, 'AUC-PR': 0.8049761566373752}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9467206034294406, 'AUC-PR': 0.5277063084349112}]"
ecg-length-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'COF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'kMeans', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'KNN', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9973997399739974, 'AUC-PR': 0.018518518518518517}, {'Algorithm': 'STAMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'STOMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'VALMOD', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}]"
sinus-combined-diff-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5034047619047619, 'AUC-PR': 0.10061545985261719}, {'Algorithm': 'COF', 'AUC-ROC': 0.5213081413210445, 'AUC-PR': 0.0983407969545574}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9850809523809524, 'AUC-PR': 0.7845750857402158}, {'Algorithm': 'KNN', 'AUC-ROC': 0.4970058371735791, 'AUC-PR': 0.10191175676734207}, {'Algorithm': 'LOF', 'AUC-ROC': 0.514278801843318, 'AUC-PR': 0.09917708984662049}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9531950844854071, 'AUC-PR': 0.7953609415173638}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6974019969278035, 'AUC-PR': 0.10100307046632391}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6974019969278035, 'AUC-PR': 0.10100307046632391}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9627341013824885, 'AUC-PR': 0.6455035385532862}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6959380952380952, 'AUC-PR': 0.10065286801585759}]"
ecg-type-frequency,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.4965767676767676, 'AUC-PR': 0.009975545147487065}, {'Algorithm': 'COF', 'AUC-ROC': 0.48853636363636366, 'AUC-PR': 0.009222693834894031}, {'Algorithm': 'kMeans', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'KNN', 'AUC-ROC': 0.4715696969696969, 'AUC-PR': 0.010026944803902366}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4991262626262626, 'AUC-PR': 0.009706587991376213}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.8854979797979798, 'AUC-PR': 0.304726410765075}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9980020202020202, 'AUC-PR': 0.7506984842812845}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9980020202020202, 'AUC-PR': 0.7506984842812845}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9998111111111111, 'AUC-PR': 0.9819026566339604}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9980252525252525, 'AUC-PR': 0.7527082647715474}]"
poly-same-count-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.441294387755102, 'AUC-PR': 0.016676312405856764}, {'Algorithm': 'COF', 'AUC-ROC': 0.5793946428571428, 'AUC-PR': 0.12299099439731791}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999535714285714, 'AUC-PR': 0.9977226178929145}, {'Algorithm': 'KNN', 'AUC-ROC': 0.3017706632653061, 'AUC-PR': 0.05008640485038153}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5822433673469387, 'AUC-PR': 0.12459422183189851}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.535159693877551, 'AUC-PR': 0.019811100151789326}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6537403061224489, 'AUC-PR': 0.029861205702526233}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6537403061224489, 'AUC-PR': 0.029861205702526233}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9999571428571429, 'AUC-PR': 0.9979600651243975}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6537974489795919, 'AUC-PR': 0.02986371854662179}]"
ecg-channels-all-of-3,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5407505050505051, 'AUC-PR': 0.01706032626452466}, {'Algorithm': 'COF', 'AUC-ROC': 0.5927787878787879, 'AUC-PR': 0.11679973346537487}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999747474747476, 'AUC-PR': 0.9975640216075041}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5688393939393939, 'AUC-PR': 0.21004038299898953}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6240010101010101, 'AUC-PR': 0.21838629101249452}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.12470202020202018, 'AUC-PR': 0.08524688857246779}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9966949494949495, 'AUC-PR': 0.577671528688248}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9966949494949494, 'AUC-PR': 0.5776712547846841}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9999717171717172, 'AUC-PR': 0.9972650375105568}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9967181818181818, 'AUC-PR': 0.5789963732636377}]"
poly-same-count-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5589423157894737, 'AUC-PR': 0.05828138475748185}, {'Algorithm': 'COF', 'AUC-ROC': 0.5828117894736842, 'AUC-PR': 0.12892768636722265}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9988408421052631, 'AUC-PR': 0.9761925041474788}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5962602105263157, 'AUC-PR': 0.15076201612110288}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5923648421052632, 'AUC-PR': 0.18561859719981752}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.6662467368421053, 'AUC-PR': 0.07087679059229926}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6306105263157895, 'AUC-PR': 0.062293495077272484}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6306105263157895, 'AUC-PR': 0.062293495077272484}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9884724210526316, 'AUC-PR': 0.8808546380090976}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6306122105263158, 'AUC-PR': 0.062293610368982}]"
rw-channels-all-of-3,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'COF', 'AUC-ROC': 0.4778424242424243, 'AUC-PR': 0.00871893278526481}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.999129292929293, 'AUC-PR': 0.9114938352803511}, {'Algorithm': 'KNN', 'AUC-ROC': 0.3657474747474747, 'AUC-PR': 0.007161074067931789}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6225727272727273, 'AUC-PR': 0.12014559535531662}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9409969696969696, 'AUC-PR': 0.2113801821849869}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.957790909090909, 'AUC-PR': 0.19116410397721972}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.957790909090909, 'AUC-PR': 0.19116410397721972}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9118787878787878, 'AUC-PR': 0.10506973287684858}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.957790909090909, 'AUC-PR': 0.19116410397721972}]"
cbf-trend-linear,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6298, 'AUC-PR': 0.039643312836919645}, {'Algorithm': 'COF', 'AUC-ROC': 0.5164611111111111, 'AUC-PR': 0.031645146431774206}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9778616161616162, 'AUC-PR': 0.2129632232610548}, {'Algorithm': 'KNN', 'AUC-ROC': 0.696720707070707, 'AUC-PR': 0.039213519164223026}, {'Algorithm': 'LOF', 'AUC-ROC': 0.49701414141414135, 'AUC-PR': 0.032169500226293654}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7362535353535354, 'AUC-PR': 0.022351513781668775}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6224909090909091, 'AUC-PR': 0.013333139922652778}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6224909090909091, 'AUC-PR': 0.013333139922652778}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9578808080808081, 'AUC-PR': 0.1005542976112911}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6225969696969696, 'AUC-PR': 0.01333600632352427}]"
ecg-noise-50%,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.362430303030303, 'AUC-PR': 0.007014342479151561}, {'Algorithm': 'COF', 'AUC-ROC': 0.47234949494949496, 'AUC-PR': 0.00899599007721182}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.6145424242424242, 'AUC-PR': 0.015777132834148763}, {'Algorithm': 'KNN', 'AUC-ROC': 0.19905101010101012, 'AUC-PR': 0.005738178599356736}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5358954545454546, 'AUC-PR': 0.010682542045881482}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.6063949494949494, 'AUC-PR': 0.012254310687453326}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7671939393939393, 'AUC-PR': 0.04364946720704664}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7671939393939393, 'AUC-PR': 0.04364946720704664}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9958010101010102, 'AUC-PR': 0.6609987653932017}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.768079797979798, 'AUC-PR': 0.04368198814229688}]"
cbf-diff-count-7,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5258498310879889, 'AUC-PR': 0.1014510706553652}, {'Algorithm': 'COF', 'AUC-ROC': 0.43455405299427363, 'AUC-PR': 0.0631332374378977}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.5703268960357768, 'AUC-PR': 0.08618247707702731}, {'Algorithm': 'KNN', 'AUC-ROC': 0.47523084110445424, 'AUC-PR': 0.059613699755167365}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5081893514001826, 'AUC-PR': 0.07357091918434142}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.710201584442994, 'AUC-PR': 0.10724152607770757}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6268975051156893, 'AUC-PR': 0.07441156659608583}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.5588722487735889, 'AUC-PR': 0.06734021586317793}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.549518047995689, 'AUC-PR': 0.1716202915725969}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.5588722487735889, 'AUC-PR': 0.06734021586317793}]"
